TransactionID,Company,TransactionDate,TransactionTime,Site,AssetType,AssetID,AssetName,FuelType,Quantity,Unit,PricePerUnit_LKR,TotalCost_LKR,Supplier,ReceiptNo,PaymentMethod,DriverOperator,OdometerKM,GeneratorHours,WeatherCondition,OperationalContext,Notes
FT-202607-00913,LankaTech Solutions (Pvt) Ltd,26-07-2026,06:30:51,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux, Diesel,65.86,L ,315.25,20762.37,Company Fuel Depot,RCP-147519,company fuel card,Nimal Perera,141897.0,,Flooding,Client site visits,VEHICLE REFUELLED BEFORE SCHEDULED CLIENT VISIT.
FT-202607-01245,LankaTech Solutions (Pvt) Ltd,01-07-2026,08:47:31,Kurunegala Warehouse,Vehicle,WP CBA 1198,Toyota Corolla,petrol ,29.62,Litres,337.58,9999.12,Local Fuel Station,RCP-942898,,Tharindu Silva,137935.0,,Wet Roads,Warehouse operations,Extra trip completed from Kurunegala Warehouse.
FT-202607-01475,LankaTech Solutions (Pvt) Ltd,20-07-2026,09:17:44,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator,diesel ,14.24,L ,304.06,4329.81, Local Fuel Station,RCP-831111,Cash,Chamath Jayasinghe,,3.1,Rain,Month-End Deliveries,refuelling completed at approved station.
FT-202607-00368,LankaTech Solutions (Pvt) Ltd,26 Jul 2026,12:44:37,Kurunegala Warehouse,Vehicle,WP CAA 7812,Toyota Prius,Petrol,28.52,l,330.17,9416.45,Local Fuel Station,RCP-731592,Corporate Credit, Tharindu Silva,125395.0,,Wet Roads,Warehouse operations,Additional fuel required due to increased activity.
FT-202607-00732,LankaTech Solutions (Pvt) Ltd,20/07/2026,07:36:02,KURUNEGALA WAREHOUSE,Vehicle,WP CAZ 9034,Suzuki Wagon R,PetRol,33.5,Ltrs,310.79,10411.47,Company Fuel Depot,RCP-258786,Corporate Credit,Amal Fernando,61544.0,,Heavy Rain,Month-end deliveries,Month-end fuel requirement.
FT-202607-00579,LankaTech Solutions (Pvt) Ltd,23-07-2026,11:02:22,Colombo Head Office,Vehicle,WP KX 2345,Isuzu D-Max,DIESEL,42.03,gallons,294.66,12384.56,Local Fuel Station,RCP-946774,FUEL CARD,Amal Fernando,85123.0,,Heavy Rain,Routine operations,Fuel purchased for operational requirement.
FT-202607-00009,LankaTech Solutions (Pvt) Ltd,2026/07/14,12:17:51,Colombo Head Office,Vehicle,WP CBA 1198,Toyota Corolla,PetRol,26.51,l,331.11,8777.73,Company Fuel Depot,RCP-924606,cash,Pradeep Kumar,121079.0,,Wet Roads,Month-end deliveries,Additional fuel required due to increased activity.
FT-202607-01113,LankaTech Solutions (Pvt) Ltd,18-07-2026,11:23:25,Colombo Head Office,Vehicle,WP CAB 4521,Toyota Hiace,diesel,68.36,l,323.16,22091.22,Lanka IOC,RCP-932825,company fuel card,Sahan Wijesinghe,63763.0,,Normal,inter-branch transfer,Fuel receipt entered manually by admin.
FT-202607-00977,LankaTech Solutions (Pvt) Ltd,2026-07-18,20:07:01,Colombo Head Office,Generator,GEN-CMB-02,Diesel Generator,diesel,101.98,l,287.57,29326.39,Company Fuel Depot,RCP-515052,corporate credit,Lahiru Senanayake,,13.0,Heavy Rain,Month-end deliveries, Additional fuel required due to increased activity. 
FT-202607-00382,LankaTech Solutions (Pvt) Ltd,2026/07/22,17:06:38,Colombo Head Office,Generator,GEN-CMB-01,Diesel Generator,DIESEL,78.74,Ltrs,327.59,25794.44,Company Fuel Depot,RCP-788832,Corporate Credit,Lahiru Senanayake,,12.9,Rain,Emergency operations, Fuel issued for emergency operations. 
FT-202607-00706,LankaTech Solutions (Pvt) Ltd,30-07-2026,15:32:13,Kurunegala Warehouse,Vehicle,SP CAB 7788,Toyota Hilux,diesel ,66.67,litres,295.22,19682.32,Lanka IOC,RCP-599375,Company Fuel Card,Chamath Jayasinghe,189027.0,,Flooding,Maintenance work,urgent refill
FT-202607-00637,LankaTech Solutions (Pvt) Ltd,13-Jul-2026,06:34:57,Colombo Head Office,Vehicle,CP CAE 9911,Mitsubishi Canter, Diesel,63.69,ltr,328.22,20904.33,Ceypetco,RCP-461955,cash,Tharindu Silva,146010.0,,Very Hot,Month-end deliveries,Month-end fuel requirement.
FT-202607-01038,LankaTech Solutions (Pvt) Ltd,04/07/2026,09:40:39,Colombo HQ,Vehicle,WP CAA 7812,Toyota Prius,Petrol,72.83,litres,342.38,24935.54,Ceypetco,RCP-351555,Fuel Account,Amal Fernando,73039.0,,Flooding,Increased deliveries,fuel receipt entered manually by admin.
FT-202607-00562,LankaTech Solutions (Pvt) Ltd,22-Jul-2026,12:44:46,Kandy Branch,Vehicle,WP RAB 3842,Isuzu Elf,DIESEL,50.68,L ,292.66,14832.01, Ceypetco,RCP-605002,cash,,18225.0,,Rain,Routine operations, Additional trip resulted in higher consumption. 
FT-202607-01487,LankaTech Solutions (Pvt) Ltd,2026-07-16,10:12:12,Colombo Head Office,Generator,GEN-CMB-01,Diesel Generator,DIESEL,80.18,LTR,307.43,24649.74,Lanka IOC,RCP-508809,Cash,Ruwan Bandara,,15.5,Very Hot,Maintenance work,Vehicle refuelled before scheduled client visit.
FT-202607-00804,LankaTech Solutions (Pvt) Ltd,2026/07/22,08:03:09,Galle Branch,Vehicle,WP CAA 7812,Toyota Prius,PetRol,31.57,Ltrs,306.42,9673.68,Company Fuel Depot,RCP-983964,company fuel card,Pradeep Kumar,97756.0,,Flooding,Maintenance work,routine fuel purchase.
FT-202607-01486,LankaTech Solutions (Pvt) Ltd,04/07/2026,06:23:30,Colombo Head Office,Vehicle,WP  CAA  7812,Toyota Prius,Petrol,30.81,l,330.91,10195.34,Lanka IOC,RCP-133641,Corporate Credit,,71204.0,,Very Hot,Warehouse operations,extra trip completed from colombo head office.
FT-202607-01053,LankaTech Solutions (Pvt) Ltd,2026-07-27,09:31:08,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator, Diesel,42.29,litres,294.52,12455.25,Company Fuel Depot,RCP-208155,cash,Chamath Jayasinghe,,6.5,Flooding,Routine operations,Fuel receipt entered manually by admin.
FT-202607-00921,LankaTech Solutions (Pvt) Ltd,28-Jul-2026,10:15:14,COLOMBO HEAD OFFICE,Vehicle,WP RAB 3842,Isuzu Elf,Diesel,24.6,LTR,288.95,7108.17,Lanka IOC,RCP-238931,corporate credit,Ruwan Bandara,92656.0,,Wet Roads,Client site visits,
FT-202607-01413,LankaTech Solutions (Pvt) Ltd,20-07-2026,08:44:07,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator,diesel,21.39,litres,291.03,6225.13,,RCP-362444,FUEL CARD,Dinesh Kumara,,3.2,Normal,,Fuel issued for maintenance work.
FT-202607-00108,LankaTech Solutions (Pvt) Ltd,05-Jul-2026,20:56:21,Kurunegala WH,Vehicle,CP CAE 9911,Mitsubishi Canter,DIESEL,64.8,L ,320.72,20782.66,Ceypetco,RCP-388853,fuel_account,Pradeep Kumar,59931.0,,Flooding,Month-end deliveries,N/A
FT-202607-00851,LankaTech Solutions (Pvt) Ltd,03-07-2026,10:45:44, Colombo Head Office,Vehicle,CP BDT 5521,Toyota TownAce, Diesel,55.94,L ,325.85,18228.05,,RCP-979151,cash,Lahiru Senanayake,73250.0,,Very Hot,Routine operations,routine fuel purchase.
FT-202607-01082,LankaTech Solutions (Pvt) Ltd,28-07-2026,17:04:41,Colombo  Head Office,Vehicle,CP CAE 9911,Mitsubishi Canter,DiesEl,100.34,Litres,297.35,29836.1,Ceypetco ,RCP-172530,FUEL CARD,Kasun Fernando,29308.0,,Wet Roads,Warehouse operations,Consumption slightly higher due to wet roads.
FT-202607-00225,Lankatech Solutions (Pvt) Ltd,2026-07-10,07:58:13,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator,Diesel,28.5,litres,305.18,8697.63,Lanka IOC,RCP-915980,Cash,Chamath Jayasinghe,,6.0,Normal,Month-end deliveries,REFUELLING COMPLETED AT APPROVED STATION.
FT-202607-00913,LankaTech Solutions (Pvt) Ltd,26-07-2026,06:30:51,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux, Diesel,65.86,L ,315.25,20762.37,Company Fuel Depot,RCP-147519,company fuel card,Nimal Perera,141897.0,,Flooding,Client site visits,VEHICLE REFUELLED BEFORE SCHEDULED CLIENT VISIT.
FT-202607-01303,LankaTech Solutions (Pvt) Ltd,2026/07/02,18:42:37,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux,Diesel,51.4,liters,331.92,17060.69,Company Fuel Depot,RCP-302257,Corporate Credit, Ruwan Bandara,149563.0,,Rain,Client site visits,Routine fuel purchase.
FT-202607-00311,LankaTech Solutions (Pvt) Ltd,2026/07/30,12:50:13,Galle Branch,GENERATOR,GEN-GAL-01,Diesel Generator, Diesel,86.12,litres,309.93,26691.17,Local Fuel Station,RCP-130115,Fuel Account,Sahan Wijesinghe,,,Flooding,Month-end deliveries, Generator fuel top-up during month-end deliveries. 
FT-202607-00570,LankaTech Solutions (Pvt) Ltd,2026/07/17,08:03:11,Colombo Head Office,Vehicle,CP CAE 9911,Mitsubishi Canter, Diesel,45.04,L,307.85,13865.56,Local Fuel Station,RCP-609559,Company Fuel Card,Nimal Perera,157738.0,,Rain,Emergency operations,Additional fuel required due to increased activity.
FT-202607-00211,LankaTech Solutions (Pvt) Ltd,27-Jul-2026,15:55:31,Galle Branch,Vehicle,WP KX 2345,Isuzu D-Max,DIESEL,44.57,ltr,328.55,14643.47,Company Fuel Depot,RCP-361410,Corporate Credit,Kasun Fernando,69143.0,,Normal,Warehouse operations,Fuel issued as per request.
FT-202607-00762,LankaTech Solutions (Pvt) Ltd,23-Jul-2026,14:51:04,Colombo Head Office,Generator,GEN-CMB-01,Diesel Generator,diesel ,70.34,l,287.23,20203.76,Local Fuel Station,RCP-984647,cash,Nimal Perera,,10.0,Wet Roads,Client site visits,Generator fuel top-up during client site visits.
FT-202607-00441,LankaTech Solutions (Pvt) Ltd,06/07/2026,20:51:58,Kandy Branch,Vehicle,SP CAB 7788,Toyota Hilux,diesel,44.44,Litres,319.17,14183.91,Local Fuel Station,missing,Cash,Chamath Jayasinghe,73877.0,,Flooding,Emergency operations,Consumption slightly higher due to flooding.
FT-202607-01217,LankaTech Solutions (Pvt) Ltd,2026/07/26,12:27:50,Kandy Branch,Vehicle,WP CAB 4521,Toyota Hiace, Diesel,104.41,ltr,297.54,31066.15,Company Fuel Depot,RCP-399517,corporate credit,Kasun Fernando,55538.0,,,Month-end deliveries,urgent refill
FT-202607-00316,LankaTech Solutions (Pvt) Ltd,28-Jul-2026,11:57:50,Galle Branch,Vehicle,SP CAB 7788,Toyota Hilux,DiesEl,73.23,litres,332.94,24381.2,Ceypetco,RCP-404833,Corporate Credit,Pradeep Kumar,179469.0,,Heavy Rain,Maintenance work,Fuel purchased for operational requirement.
FT-202607-00440,Lankatech Solutions (Pvt) Ltd,09-Jul-2026,13:36:40,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator,diesel,19.12,litres,300.91,5753.4,Ceypetco,RCP-683546,fuel_account, Ruwan Bandara,,2.2,Heavy Rain,Emergency operations, Fuel issued for emergency operations. 
FT-202607-01273,LankaTech Solutions (Pvt) Ltd,2026-07-10,09:31:11,Galle Branch,Generator,GEN-GAL-01,Diesel Generator, Diesel,82.34,L ,311.47,25646.44,Local Fuel Station,RCP-837360,Cash,Tharindu Silva,,16.8,Wet Roads,Client site visits,Additional fuel required due to increased activity.
FT-202607-01126,LankaTech Solutions (Pvt) Ltd,24 Jul 2026,17:20:00,kandyBranch,Vehicle,SP CAB 7788,Toyota Hilux,DiesEl,51.37,liters,314.35,16148.16,Lanka IOC,RCP-935264,company fuel card,Amal Fernando,76640.0,,Rain,Warehouse operations, Month-end fuel requirement. 
FT-202607-00640,LankaTech Solutions (Pvt) Ltd,27-Jul-2026,12:36:58,Kurunegala Warehouse,Vehicle,WP RAB 3842,Isuzu Elf,diesel,19.46,L ,299.67,5831.58,Local Fuel Station,RCP-873202,Fuel Account,Pradeep Kumar,99856.0,,Wet Roads,Emergency operations,Additional trip resulted in higher consumption.
FT-202607-00846,LankaTech Solutions (Pvt) Ltd,2026/07/28,20:18:54,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux, Diesel,25.07,ltr,323.4,8107.64,Local Fuel Station,RCP-713071,cash,Tharindu Silva,83841.0,,Rain,Client site visits,Extra trip completed from Colombo Head Office.
FT-202607-01393,LankaTech Solutions (Pvt) Ltd,09/07/2026,17:42:15,Colombo Head Office,Generator,GEN-CMB-02,Diesel Generator,Diesel,22.74,Ltrs,322.31,7329.33,Lanka IOC,RCP-729785,Fuel Account,Amal Fernando,,3.0,Normal,Emergency operations, EMERGENCY FUEL TOP-UP. 
FT-202607-00986,LankaTech Solutions (Pvt) Ltd,2026-07-05,17:07:55,Kandy Branch,Vehicle,WP CAB 4521,Toyota Hiace, Diesel,31.65,Ltrs,304.92,9650.72,Company  Fuel  Depot,RCP-891256,company fuel card,Amal Fernando,60004.0,,Heavy Rain,CLIENT SITE VISITS, ADDITIONAL TRIP RESULTED IN HIGHER CONSUMPTION. 
FT-202607-00806,Lankatech Solutions (Pvt) Ltd,12-Jul-2026,09:42:24,Colombo HO,Vehicle,WP RAB 3842,Isuzu Elf, Diesel,55.17,L ,329.36,18170.79,Lanka IOC,RCP-103344,Fuel Account,Pradeep Kumar,104602.0,,Rain,Emergency operations,Additional trip resulted in higher consumption.
FT-202607-01234,LankaTech Solutions (Pvt) Ltd,2026/07/04,18:28:10,Galle Branch,Vehicle,WP CAB 4521,Toyota Hiace,Diesel,41.99,litres,331.9,13936.48,Lanka IOC,RCP-181871,company fuel card,Chamath Jayasinghe,178444.0,,Normal,Client site visits,Additional trip resulted in higher consumption.
FT-202607-01386,LankaTech Solutions (Pvt) Ltd,18-07-2026,19:11:39, Kandy Branch,Vehicle,WP CAA 7812,Toyota Prius,PETROL,38.14,Litres,314.5,11995.03,Lanka IOC,RCP-993198,cash,Amal Fernando,156081.0,,Heavy Rain,Client site visits,Additional trip resulted in higher consumption.
FT-202607-00535,LankaTech Solutions (Pvt) Ltd,2026-07-04,18:18:15,Kandy Branch,Vehicle,WP CAA 7812,Toyota Prius,PetRol,36.5,liters,309.98,11314.27,Local Fuel Station,RCP-405270,Cash,Sahan Wijesinghe,120016.0,,Rain,Month-end deliveries,Regular petrol refill for Toyota Prius.
FT-202607-00289,LankaTech Solutions (Pvt) Ltd,31/07/2026,17:45:22,Colombo Head Office,Vehicle,WP CBA 1198,Toyota Corolla,petrol,23.29,l,342.96,7987.54,Ceypetco,RCP-941269,fuel_account,Kasun Fernando,126532.0,,Wet Roads,Routine operations,Fuel issued as per request.
FT-202607-01255,LankaTech Solutions (Pvt) Ltd,23-Jul-2026,09:06:02,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux,diesel ,40.21,L ,319.73,12856.34,Local Fuel Station,RCP-147093,Company Fuel Card,Chamath Jayasinghe,135072.0,,Heavy Rain,Inter-branch transfer, fuel receipt entered manually by admin. 
FT-202607-01355,LankaTech Solutions (Pvt) Ltd,2026/07/30,11:47:32,Kurunegala Warehouse,Generator,GEN-KUR-01,Diesel Generator,DiesEl,89.87,Litres,301.2,27068.84,Lanka IOC,RCP-893951,FUEL CARD,Kasun Fernando,,12.1,Normal,Routine operations,Additional trip resulted in higher consumption. Higher than normal usage reported.
FT-202607-00143,LankaTech Solutions (Pvt) Ltd,2026-07-21,11:36:26,Kurunegala Warehouse,Vehicle,SP CAB 7788,Toyota Hilux,diesel ,67.17,L,320.27,21512.54,Ceypetco,RCP-668676,FUEL CARD,Tharindu Silva,96618.0,,,Client site visits,Fuel purchased for operational requirement.
FT-202607-01321,LankaTech Solutions (Pvt) Ltd,2026-07-27,07:35:45,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux,Diesel,68.05,liters,326.39,22210.84,Local Fuel Station,RCP-464599,cash,Ruwan Bandara,71634.0,,Normal,Month-end deliveries,urgent refill
FT-202607-01381,lankatechSolutions(Pvt)Ltd,11 Jul 2026,13:14:23,Kurunegala Warehouse,Vehicle,WP KX 2345,Isuzu D-Max,diesel,44.74,liters,331.47,14829.97,Ceypetco,RCP-155799,fuel_account,Kasun Fernando,80439.0,,Wet Roads,Client site visits,ADDITIONAL FUEL REQUIRED DUE TO INCREASED ACTIVITY.
FT-202607-01251,Lankatech Solutions (Pvt) Ltd,16-Jul-2026,18:22:54,Colombo head office,Vehicle,WP CAA 7812,Toyota Prius,petrol,61.68,Ltrs,336.42,20750.39,Ceypetco,RCP-701228,corporate credit,Amal Fernando,89336.0,,Normal,Increased deliveries,Additional fuel required due to increased activity. Higher than normal usage reported.
FT-202607-00021,LankaTech Solutions (Pvt) Ltd,08-Jul-2026,06:42:19,Kurunegala Warehouse ,Vehicle,WP CAA 7812,Toyota Prius, Petrol,33.56,litres,329.16,11046.61,,RCP-416241,corporate credit,Lahiru Senanayake,90550.0,,Flooding,Client site visits,Extra trip completed from Kurunegala Warehouse.
FT-202607-01039,LankaTech Solutions (Pvt) Ltd,06-07-2026,20:57:42,colomboHeadOffice,Vehicle,SP CAB 7788,Toyota Hilux, Diesel,18.59,Ltrs,333.09,6192.14,Local Fuel Station,RCP-680463,FUEL CARD,Nimal Perera,55999.0,,Wet Roads,Warehouse operations,Emergency fuel top-up.
FT-202607-01417,LankaTech Solutions (Pvt) Ltd,2026-07-04,08:14:28,Colombo Head Office,Vehicle,WP CAZ 9034,Suzuki Wagon R,PETROL,38.73,liters,313.83,12154.64,Local Fuel Station,RCP-344836,company fuel card,Nimal Perera,180914.0,,Very Hot,Month-end deliveries,Consumption slightly higher due to very hot.
FT-202607-01481,LankaTech Solutions (Pvt) Ltd,02/07/2026,14:39:27,Colombo Head Office,Generator,GEN-CMB-02,Diesel Generator,diesel,103.17,Ltrs ,313.67,32361.33,Company Fuel Depot,RCP-599018,Company Fuel Card,Ruwan Bandara,,16.1,Wet Roads,Inter-branch transfer, Vehicle refuelled before scheduled client visit. 
FT-202607-00067,LankaTech Solutions (Pvt) Ltd,2026-07-08,08:29:36,Colombo Head Office,Vehicle,WP CAZ 9034,Suzuki Wagon R,PETROL,51.76,litres,309.02,15994.88,Local Fuel Station,RCP-801961,cash,Pradeep Kumar,42088.0,,Flooding,Increased deliveries, additional fuel required due to increased activity. 
FT-202607-00821,LankaTech Solutions (Pvt) Ltd,2026/07/15,12:40:12,Galle Branch,Vehicle,WP CAB 4521,Toyota Hiace,DIESEL,73.79,LTR,313.07,23101.44,Lanka IOC,RCP-349083,fuel_account,Amal Fernando,113746.0,,Wet Roads,Maintenance work, VEHICLE REFUELLED BEFORE SCHEDULED CLIENT VISIT. 
FT-202607-00405,LankaTech Solutions (Pvt) Ltd,2026-07-07,07:01:48,Colombo Head Office,Vehicle,WP KX 2345,Isuzu D-Max,diesel ,100.23,liters,323.7,32444.45,Local Fuel Station,missing,cash,Tharindu Silva,82711.0,,Wet Roads,warehouse operations,Additional fuel required due to increased activity.
FT-202607-00491,LankaTech Solutions (Pvt) Ltd,16-07-2026,11:06:02,Kurunegala Warehouse,Generator,GEN-KUR-01,Diesel Generator, Diesel,28.69,Ltrs,293.55,8421.95,Lanka IOC,RCP-686427,Corporate Credit,Amal Fernando,,4.5,Very Hot,Inter-branch transfer,Fuel receipt entered manually by admin.
FT-202607-00085,LankaTech Solutions (Pvt) Ltd,2026-07-24,06:34:29,Kandy Branch,Vehicle,WP CAA 7812,Toyota Prius,PetRol,42.12,LTR,331.53,13964.04,Lanka IOC,RCP-423627,Cash,Ruwan Bandara,19039.0,,Very Hot,,Fuel purchased for operational requirement.
FT-202607-01285,LankaTech Solutions (Pvt) Ltd,2026-07-21,08:37:46,colomboHeadOffice,Vehicle,WP CAB 4521,Toyota Hiace,DiesEl,71.5,LTR,321.22,22967.23, Local Fuel Station,RCP-549182,Cash,Lahiru Senanayake,161741.0,,Flooding,Warehouse operations, Fuel issued as per request. 
FT-202607-00870,LankaTech Solutions (Pvt) Ltd,28/07/2026,17:34:07,Colombo Head Office,Vehicle,WP RAB 3842,Isuzu Elf,diesel,104.72,liters,320.22,33533.44,,RCP-715799,Fuel Account,Tharindu Silva,124534.0,,Flooding,Maintenance work,fuel receipt entered manually by admin. 
FT-202607-00539,LankaTech Solutions (Pvt) Ltd,20-07-2026,19:36:13,Colombo Head Office,Vehicle,WP CAA 7812,Toyota Prius,PETROL,31.47,Ltrs,322.73,10156.31,Ceypetco,RCP-705323,company fuel card,Pradeep Kumar,106228.0,,Heavy Rain,Increased deliveries,emergency fuel top-up.
FT-202607-01477,LankaTech Solutions (Pvt) Ltd,13-Jul-2026,10:38:48,Colombo Head Office,Vehicle,WP CBA 1198,Toyota Corolla,petrol,30.45,l,320.7,9765.31,Lanka IOC,RCP-820374,FUEL CARD,Amal Fernando,74971.0,,Heavy Rain,Month-end deliveries,Month-end fuel requirement.
